日期,村里代碼,村里,病例數,上週同期,增減,增加天數,一週小計,增減
2015-09-16,6500100-009,新北市板橋區香社里,1,0,1,0,1,1
2015-10-09,6500100-018,新北市板橋區民權里,1,0,1,0,1,1
2015-11-05,6500100-020,新北市板橋區漢生里,1,0,1,0,1,1
2015-10-08,6500100-028,新北市板橋區華江里,1,0,1,0,1,1
2015-09-13,6500100-030,新北市板橋區純翠里,1,0,1,0,1,1
2015-09-21,6500100-033,新北市板橋區宏翠里,1,0,1,0,1,1
2015-10-16,6500100-044,新北市板橋區忠翠里,1,0,1,0,1,1
2015-02-06,6500100-046,新北市板橋區文翠里,1,0,1,0,1,1
2015-09-05,6500100-057,新北市板橋區海山里,1,0,1,0,1,1
2015-08-26,6500100-067,新北市板橋區西安里,1,0,1,0,1,1
2015-05-29,6500100-086,新北市板橋區華德里,1,0,1,0,1,1
2015-12-14,6500100-105,新北市板橋區新海里,1,0,1,0,1,1
2015-10-07,6500200-012,新北市三重區重明里,1,0,1,0,1,1
2015-12-15,6500200-014,新北市三重區光陽里,1,0,1,0,1,1
2015-10-08,6500200-050,新北市三重區自強里,1,0,1,0,1,1
2015-10-13,6500200-074,新北市三重區信安里,1,0,1,0,1,1
2015-08-23,6500200-076,新北市三重區幸福里,1,0,1,0,1,1
2015-12-28,6500200-076,新北市三重區幸福里,1,0,1,0,1,1
2015-01-22,6500200-083,新北市三重區厚德里,1,0,1,0,1,1
2015-09-17,6500200-090,新北市三重區永清里,1,0,1,0,1,1
2015-10-10,6500200-091,新北市三重區永安里,1,0,1,0,1,1
2015-10-21,6500200-098,新北市三重區慈福里,1,0,1,0,1,1
2015-08-22,6500200-103,新北市三重區慈祐里,1,0,1,0,1,1
2015-09-15,6500300-007,新北市中和區連和里,1,0,1,0,1,1
2015-11-11,6500300-011,新北市中和區漳和里,1,0,1,0,1,1
2015-04-18,6500300-020,新北市中和區安樂里,1,0,1,0,1,1
2015-09-18,6500300-022,新北市中和區安平里,1,0,1,0,1,1
2015-10-04,6500300-023,新北市中和區中安里,1,0,1,0,1,1
2015-09-03,6500300-025,新北市中和區新南里,1,0,1,0,1,1
2015-12-09,6500300-025,新北市中和區新南里,1,0,1,0,1,1
2015-09-07,6500300-033,新北市中和區秀仁里,1,0,1,0,1,1
2015-09-21,6500300-042,新北市中和區內南里,1,0,1,0,1,1
2015-08-13,6500300-050,新北市中和區景安里,1,0,1,0,1,1
2015-10-09,6500300-065,新北市中和區清穗里,1,0,1,0,1,1
2015-11-23,6500300-067,新北市中和區德穗里,1,0,1,0,1,1
2015-11-23,6500300-076,新北市中和區秀義里,1,0,1,0,1,1
2015-09-17,6500300-080,新北市中和區福南里,1,0,1,0,1,1
2015-11-25,6500300-081,新北市中和區中興里,1,0,1,0,1,1
2015-11-10,6500300-088,新北市中和區員富里,1,0,1,0,1,1
2015-11-27,6500400-002,新北市永和區文化里,1,0,1,0,1,1
2015-09-17,6500400-007,新北市永和區永福里,1,0,1,0,1,1
2015-10-26,6500400-033,新北市永和區保平里,1,0,1,0,1,1
2015-10-29,6500400-039,新北市永和區得和里,1,0,1,0,1,1
2015-10-10,6500400-060,新北市永和區秀元里,1,0,1,0,1,1
2015-04-04,6500500-002,新北市新莊區頭前里,1,0,1,0,1,1
2015-10-05,6500500-005,新北市新莊區福基里,1,0,1,0,1,1
2015-09-25,6500500-006,新北市新莊區豐年里,1,0,1,0,1,1
2015-12-24,6500500-008,新北市新莊區恆安里,2,0,2,0,2,2
2015-05-11,6500500-012,新北市新莊區八德里,1,0,1,0,1,1
2015-11-02,6500500-019,新北市新莊區文德里,1,0,1,0,1,1
2015-11-09,6500500-023,新北市新莊區中港里,1,0,1,0,1,1
2015-11-17,6500500-023,新北市新莊區中港里,1,0,1,0,1,0
2015-08-25,6500500-045,新北市新莊區自立里,1,0,1,0,1,1
2015-10-13,6500500-048,新北市新莊區雙鳳里,1,0,1,0,1,1
2015-12-01,6500500-050,新北市新莊區龍鳳里,1,0,1,0,1,1
2015-10-19,6500500-068,新北市新莊區福營里,1,0,1,0,1,1
2015-11-25,6500500-071,新北市新莊區成德里,1,0,1,0,1,1
2015-11-05,6500500-075,新北市新莊區中平里,1,0,1,0,1,1
2015-08-06,6500600-006,新北市新店區寶興里,1,0,1,0,1,1
2015-08-17,6500600-007,新北市新店區寶安里,1,0,1,0,1,1
2015-06-12,6500600-008,新北市新店區信義里,1,0,1,0,1,1
2015-10-05,6500600-008,新北市新店區信義里,1,0,1,0,1,1
2015-07-15,6500600-036,新北市新店區文明里,1,0,1,0,1,1
2015-05-24,6500600-039,新北市新店區新德里,1,0,1,0,1,1
2015-11-04,6500600-044,新北市新店區中正里,1,0,1,0,1,1
2015-11-03,6500600-047,新北市新店區百忍里,1,0,1,0,1,1
2015-10-09,6500600-049,新北市新店區福德里,1,0,1,0,1,1
2015-06-03,6500600-056,新北市新店區安和里,1,0,1,0,1,1
2015-12-26,6500600-058,新北市新店區寶福里,1,0,1,0,1,1
2015-08-23,6500700-002,新北市樹林區三福里,1,0,1,0,1,1
2015-10-21,6500700-018,新北市樹林區東山里,1,0,1,0,1,1
2015-11-28,6500700-018,新北市樹林區東山里,1,0,1,0,1,1
2015-10-31,6500700-026,新北市樹林區柑園里,1,0,1,0,1,1
2015-12-04,6500900-007,新北市三峽區礁溪里,1,0,1,0,1,1
2015-01-22,6500900-011,新北市三峽區嘉添里,1,0,1,0,1,1
2015-12-24,6501000-004,新北市淡水區興仁里,1,0,1,0,1,1
2015-08-14,6501000-008,新北市淡水區崁頂里,1,0,1,0,1,1
2015-08-22,6501000-008,新北市淡水區崁頂里,1,0,1,0,1,0
2015-03-07,6501000-012,新北市淡水區北投里,1,0,1,0,1,1
2015-09-22,6501000-018,新北市淡水區竹圍里,1,0,1,0,1,1
2015-09-19,6501000-019,新北市淡水區民生里,1,0,1,0,1,1
2015-12-08,6501000-021,新北市淡水區竿蓁里,1,0,1,0,1,1
2015-04-22,6501000-034,新北市淡水區新義里,1,0,1,0,1,1
2015-10-05,6501000-034,新北市淡水區新義里,1,0,1,0,1,1
2015-09-25,6501000-036,新北市淡水區新民里,1,0,1,0,1,1
2015-11-15,6501000-036,新北市淡水區新民里,1,0,1,0,1,1
2015-09-27,6501100-003,新北市汐止區智慧里,1,0,1,0,1,1
2015-09-24,6501100-008,新北市汐止區復興里,1,0,1,0,1,1
2015-11-12,6501100-022,新北市汐止區橫科里,1,0,1,0,1,1
2015-03-08,6501100-031,新北市汐止區自強里,1,0,1,0,1,1
2015-11-29,6501100-037,新北市汐止區忠山里,1,0,1,0,1,1
2015-03-07,6501100-043,新北市汐止區湖興里,2,0,2,0,2,2
2015-09-25,6501100-044,新北市汐止區長青里,1,0,1,0,1,1
2015-09-19,6501100-045,新北市汐止區福安里,1,0,1,0,1,1
2015-09-05,6501100-046,新北市汐止區秀山里,1,0,1,0,1,1
2015-08-31,6501200-002,新北市瑞芳區龍興里,1,0,1,0,1,1
2015-09-09,6501200-012,新北市瑞芳區吉安里,1,0,1,0,1,1
2015-09-02,6501300-006,新北市土城區日新里,1,0,1,0,1,1
2015-09-23,6501300-010,新北市土城區埤林里,1,0,1,0,1,1
2015-09-19,6501300-013,新北市土城區清和里,1,0,1,0,1,1
2015-11-09,6501300-043,新北市土城區明德里,1,0,1,0,1,1
2015-08-20,6501400-006,新北市蘆洲區水湳里,1,0,1,0,1,1
2015-12-21,6501400-006,新北市蘆洲區水湳里,2,0,2,0,2,2
2015-12-30,6501400-012,新北市蘆洲區保和里,1,0,1,0,1,1
2015-09-21,6501400-017,新北市蘆洲區永康里,1,0,1,0,1,1
2015-08-10,6501400-019,新北市蘆洲區玉清里,1,0,1,0,1,1
2015-10-01,6501400-022,新北市蘆洲區仁愛里,1,0,1,0,1,1
2015-09-11,6501400-031,新北市蘆洲區長安里,1,0,1,0,1,1
2015-01-05,6501500-006,新北市五股區成功里,1,0,1,0,1,1
2015-07-20,6501600-001,新北市泰山區大科里,1,0,1,0,1,1
2015-10-21,6501600-008,新北市泰山區明志里,1,0,1,0,1,1
2015-11-15,6501600-009,新北市泰山區貴子里,1,0,1,0,1,1
2015-12-15,6501600-010,新北市泰山區貴和里,1,0,1,0,1,1
2015-09-21,6501700-007,新北市林口區湖南里,1,0,1,0,1,1
2015-10-14,6501700-007,新北市林口區湖南里,1,0,1,0,1,1
2015-02-24,6501700-008,新北市林口區南勢里,1,0,1,0,1,1
2015-12-29,6501700-008,新北市林口區南勢里,1,0,1,0,1,1
2015-10-05,6501700-011,新北市林口區下福里,1,0,1,0,1,1
2015-08-28,6501700-016,新北市林口區麗林里,1,0,1,0,1,1
2015-11-12,6501700-017,新北市林口區麗園里,1,0,1,0,1,1
2015-04-13,6502300-008,新北市八里區荖阡里,1,0,1,0,1,1
2015-09-22,6502600-007,新北市貢寮區仁里里,1,0,1,0,1,1
2015-11-07,6502600-008,新北市貢寮區真理里,1,0,1,0,1,1
2015-10-16,6300100-006,台北市松山區富錦里,1,0,1,0,1,1
2015-03-20,6300100-011,台北市松山區東光里,1,0,1,0,1,1
2015-09-14,6300100-012,台北市松山區龍田里,1,0,1,0,1,1
2015-12-28,6300100-012,台北市松山區龍田里,1,0,1,0,1,1
2015-09-14,6300100-024,台北市松山區新聚里,1,0,1,0,1,1
2015-06-26,6300100-026,台北市松山區中正里,1,0,1,0,1,1
2015-11-23,6300100-030,台北市松山區敦化里,1,0,1,0,1,1
2015-09-08,6300200-001,台北市信義區西村里,1,0,1,0,1,1
2015-09-09,6300200-013,台北市信義區五全里,1,0,1,0,1,1
2015-11-05,6300200-013,台北市信義區五全里,1,0,1,0,1,1
2015-10-13,6300200-014,台北市信義區永吉里,1,0,1,0,1,1
2015-03-07,6300200-024,台北市信義區中坡里,1,0,1,0,1,1
2015-10-01,6300200-025,台北市信義區中行里,1,0,1,0,1,1
2015-07-24,6300200-030,台北市信義區三張里,1,0,1,0,1,1
2015-09-05,6300200-032,台北市信義區六合里,1,0,1,0,1,1
2015-09-14,6300200-038,台北市信義區黎順里,1,0,1,0,1,1
2015-11-24,6300200-039,台北市信義區黎平里,1,0,1,0,1,1
2015-12-21,6300300-002,台北市大安區仁慈里,1,0,1,0,1,1
2015-10-11,6300300-006,台北市大安區義村里,1,0,1,0,1,1
2015-11-07,6300300-007,台北市大安區民輝里,1,0,1,0,1,1
2015-04-28,6300300-011,台北市大安區龍坡里,1,0,1,0,1,1
2015-11-06,6300300-017,台北市大安區福住里,1,0,1,0,1,1
2015-12-23,6300300-018,台北市大安區永康里,1,0,1,0,1,1
2015-09-11,6300300-022,台北市大安區龍圖里,1,0,1,0,1,1
2015-09-18,6300300-040,台北市大安區龍淵里,1,0,1,0,1,1
2015-10-04,6300300-040,台北市大安區龍淵里,1,0,1,0,1,1
2015-10-08,6300300-040,台北市大安區龍淵里,1,0,1,0,2,2
2015-09-23,6300300-047,台北市大安區黎孝里,1,0,1,0,1,1
2015-09-12,6300300-056,台北市大安區光信里,1,0,1,0,1,1
2015-11-26,6300400-001,台北市中山區正守里,1,0,1,0,1,1
2015-10-21,6300400-002,台北市中山區正義里,1,0,1,0,1,1
2015-12-07,6300400-002,台北市中山區正義里,1,0,1,0,1,1
2015-06-28,6300400-004,台北市中山區民安里,1,0,1,0,1,1
2015-12-07,6300400-004,台北市中山區民安里,1,0,1,0,1,1
2015-12-28,6300400-008,台北市中山區集英里,1,0,1,0,1,1
